type,name,res_id,src,value,fuzzy
error,ekd.product.packing,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.",,0
error,ekd.product.packing,0,Invalid Factor and Rate values!,,0
error,ekd.product.packing,0,Rate and factor can not be both equal to zero.,Ставка и фактор не может быть одновременно равны нулю.,0
error,ekd.product.packing,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","Вы не можете изменить Курс, фактор или категорию на единицу измерения.",0
error,ekd.product.template.packing,0,"If the UOM is still not used, you can delete it otherwise you can deactivate it and create a new one.",,0
error,ekd.product.template.packing,0,Invalid Factor and Rate values!,,0
error,ekd.product.template.packing,0,Rate and factor can not be both equal to zero.,Ставка и фактор не может быть одновременно равны нулю.,0
error,ekd.product.template.packing,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","Вы не можете изменить Курс, фактор или категорию на единицу измерения.",0
error,product.uom,0,Rate and factor can not be both equal to zero.,Ставка и фактор не может быть одновременно равны нулю.,0
error,product.uom,0,"You cannot change Rate, Factor or Category on a Unit of Measure. ","Вы не можете изменить Курс, фактор или категорию на единицу измерения.",0
field,"ekd.product.analogue,original",0,Product Original,,0
field,"ekd.product.analogue,product",0,Product Analogue,,0
field,"ekd.product.analogue,rec_name",0,Name,Наименование,0
field,"ekd.product.packing,active",0,Active,Действующий,0
field,"ekd.product.packing,childs",0,Child packing,,0
field,"ekd.product.packing,digits",0,Display Digits,Кол-во знаков после запятой,0
field,"ekd.product.packing,factor",0,Factor,Коэффициент к основной единице,0
field,"ekd.product.packing,name",0,Name,Наименование,0
field,"ekd.product.packing,parent",0,Parent packing,,0
field,"ekd.product.packing,product",0,Product,ТМЦ,0
field,"ekd.product.packing,rate",0,Rate,Ставка,0
field,"ekd.product.packing,rec_name",0,Name,Наименование,0
field,"ekd.product.packing,rounding",0,Rounding Precision,Точность округления,0
field,"ekd.product.packing,sequence",0,Sequence,Последовательность,0
field,"ekd.product.packing,symbol",0,Symbol,Условное обозначение,0
field,"ekd.product.packing,volume",0,Volume,,0
field,"ekd.product.packing,volume_uom",0,Volume UoM,,0
field,"ekd.product.property,default_uom",0,UOM,,0
field,"ekd.product.property,key",0,Property,Свойства,0
field,"ekd.product.property,key_name",0,Property,Свойства,0
field,"ekd.product.property,product",0,Product Template,Шаблон Товара,0
field,"ekd.product.property,rec_name",0,Name,Наименование,0
field,"ekd.product.property,type_value",0,Type Value,Тип значения,0
field,"ekd.product.property,value",0,Value,Значение,0
field,"ekd.product.template,active",0,Active,Действующий,0
field,"ekd.product.template,category",0,Category,Категории,0
field,"ekd.product.template,default_uom",0,Default UOM,По умолчанию ед.измерения,0
field,"ekd.product.template,description",0,Description,Описание,0
field,"ekd.product.template,group",0,Group,Группы,0
field,"ekd.product.template,name",0,Name,Наименование,0
field,"ekd.product.template,packing",0,Packing,,0
field,"ekd.product.template,properties",0,Property,Свойства,0
field,"ekd.product.template,rec_name",0,Name,Наименование,0
field,"ekd.product.template,type",0,Type,Тип ставки,0
field,"ekd.product.template.packing,active",0,Active,Действующий,0
field,"ekd.product.template.packing,childs",0,Child packing,,0
